药物id,对照组索引,x_6索引,x_24索引,剂量大小
Nc1nc(=O)c2nc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cnc2[nH]1,PRISM001_MCF7_6H_X1_B7_DUO52HI53LO:P22-1,CPD002_MCF7_6H_X1_B6_DUO52HI53LO:N15-1,REP.A002_MCF7_24H_X2_B29:O19-2,10.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,REP.A021_PC3_24H_X3_B23:J16-2,CPC002_PC3_6H_X4_B4_DUO52HI53LO:A08-1,REP.A002_PC3_24H_X1_B22:A13-2,10.0
CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,DOS057_A375_24H_X1_F2B3_DUO52HI53LO:D12-1,CPC018_A375_6H_X4_F1B5_DUO52HI53LO:L21-1,REP.A005_A375_24H_X2_B22:K13-2,10.0
CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1,CPC007_MCF7_6H_X2_F1B3_DUO52HI53LO:H01-1,CPC014_MCF7_6H_X3_B4_DUO52HI53LO:D06-1,REP.A007_MCF7_24H_X1_B22:I07-2,10.0
Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCCC1,CPC019_A375_6H_X1_B4_DUO52HI53LO:A18-1,CPC020_A375_6H_X1_B4_DUO52HI53LO:P18-1,REP.A009_A375_24H_X1_B24:L01-2,10.0
CCCc1nc(C)c2n1nc([nH]c2=O)-c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1,DOS034_MCF7_24H_X2_F2B4_DUO52HI53LO:J22-1,CPC010_MCF7_6H_X4_F1B5_DUO52HI53LO:I22-1,REP.A010_MCF7_24H_X2_B24:I13-2,10.0
CCCCOc1cc(ccc1N)C(=O)OCCN(CC)CC,ASG001_PC3_24H_X4_B7_DUO52HI53LO:C01-1,CPC001_PC3_6H_X3_B3_DUO52HI53LO:L04-1,REP.A011_PC3_24H_X2_B24:N19-2,10.0
COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C,PCLB001_A375_6H_X2_F2B6_DUO52HI53LO:O05-1,CPC004_A375_6H_X3_B3_DUO52HI53LO:F10-1,REP.A015_A375_24H_X2_B23:G19-2,10.0
O=C1N(c2ccccc2C1(Cc1ccncc1)Cc1ccncc1)c1ccccc1,REP.A023_MCF7_24H_X3_B23:J15-2,CPC005_MCF7_6H_X5_F1B5_DUO52HI53LO:D23-1,REP.A015_MCF7_24H_X2_B23:K13-2,10.0
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,CPC003_PC3_24H_X3_B3_DUO52HI53LO:B17-1,CPC006_PC3_6H_X1_B3_DUO52HI53LO:M14-1,REP.A016_PC3_24H_X2_B23:H07-2,10.0
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4ccco4,DOS055_PC3_24H_X1_F2B3_DUO52HI53LO:L15-1,CPC003_PC3_6H_X4_F2B4_DUO52HI53LO:C18-1,REP.A017_PC3_24H_X1_B23:D19-2,10.0
Clc1cccc(c1)N1CCN(CCCn2nc3ccccn3c2=O)CC1,HDAC002_HA1E_24H_X1_B7_DUO52HI53LO:H02-1,CPC004_HA1E_6H_X1_B3_DUO52HI53LO:I06-1,REP.A022_HA1E_24H_X1_B23:G07-2,10.0
Nc1nc(N)nc(n1)-c1cc(Cl)ccc1Cl,REP.A018_HT29_24H_X1_B23:J18-2,CPC011_HT29_6H_X4_B5_DUO52HI53LO:D03-1,REP.A024_HT29_24H_X1_B23:D07-2,10.0
O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12,REP.A027_HT29_24H_X1_B25:B03-2,CPC006_HT29_6H_X1_B3_DUO52HI53LO:E14-1,REP.A027_HT29_24H_X2_B25:C07-2,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,DOS046_A375_24H_X3_F3B5_DUO52HI53LO:K08-1,CPC017_A375_6H_X2_B4_DUO52HI53LO:A03-1,LJP006_A375_24H_X1_B19:O01-2,10.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1,HOG002_A549_6H_X1_F1B10:L23-1,HOG001_A549_6H_X1_B11:N14-1,LJP008_A549_24H_X2_F1B19:G07-2,10.0
COc1cc(ccc1Nc1nc(N)c(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)C(N)=O,LJP001_BT20_24H_X1_B2_DUO52HI53LO:D01-1,LJP001_BT20_6H_X3_B3_DUO52HI53LO:C11-1,LJP006_BT20_24H_X1_B17:A19-2,10.0
Cc1ccc(cc1NC(=O)C=C)-n1c2c(ccc1=O)cnc1ccc(cc21)-c1cn[nH]c1,LJP006_BT20_3H_X1_B17:B04-2,LJP001_BT20_6H_X3_B3_DUO52HI53LO:M17-1,LJP006_BT20_24H_X3_B17:F19-2,10.0
Oc1ccc(cc1)\C=C\c1cc(O)cc(O)c1,CPC001_HCC515_6H_X2_B3_DUO52HI53LO:I15-1,CPC010_HCC515_6H_X3_B4_DUO52HI53LO:J21-1,LJP008_HCC515_24H_X1_B20:M01-2,10.0
OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,CPC015_HEPG2_6H_X2.L2_F2B5_DUO52HI53LO:M09-1,CPC014_HEPG2_6H_X1_F1B3_DUO52HI53LO:K21-1,LJP005_HEPG2_24H_X1_B19:C01-2,10.0
COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,LJP006_HEPG2_24H_X2_B19:N19-2,CPC014_HEPG2_6H_X3_F1B3_DUO52HI53LO:A03-1,LJP006_HEPG2_24H_X1_B19:O01-2,10.0
CN(c1ncccc1CNc1nc(Nc2ccc3NC(=O)Cc3c2)ncc1C(F)(F)F)S(C)(=O)=O,LJP005_HS578T_3H_X3_B17:J13-2,LJP001_HS578T_6H_X2_F2B5_DUO52HI53LO:M11-1,LJP006_HS578T_24H_X1_B17:F13-2,10.0
O=C1NC(=O)\C(S1)=C/c1ccc2nccnc2c1,LJP002_HS578T_24H_X3_F2B5_DUO52HI53LO:D02-1,LJP001_HS578T_6H_X3_F2B5_DUO52HI53LO:I21-1,LJP006_HS578T_24H_X2_B17:O07-2,10.0
CC1C(=O)C(=O)C=C2C1=CC=C3[C@@]2(C)CCC4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(=O)O,LJP006_HS578T_3H_X2_B17:J18-2,LJP002_HS578T_6H_X2_F2B5_DUO52HI53LO:C23-1,LJP006_HS578T_24H_X3_B17:G07-2,10.0
COc1nccc(-c2ccc3nccc(-c4ccnnc4)c3c2)c1NS(=O)(=O)c1ccc(F)cc1F,LJP006_HS578T_3H_X1_B17:F10-2,LJP002_HS578T_6H_X3_F2B5_DUO52HI53LO:I13-1,LJP006_HS578T_24H_X3_B17:N01-2,10.0
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,LJP006_HS578T_3H_X2_B17:J14-2,LJP001_HS578T_6H_X2_F2B5_DUO52HI53LO:M01-1,LJP005_HS578T_24H_X2_B17:D07-2,10.0
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,LJP001_HS578T_6H_X2_F2B5_DUO52HI53LO:K17-1,LJP001_HS578T_6H_X2_F2B5_DUO52HI53LO:A03-1,LJP005_HS578T_24H_X3_B17:J01-2,10.0
CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1,CPC011_HT29_6H_X1_B3_DUO52HI53LO:K01-1,CPC013_HT29_6H_X2_B4_DUO52HI53LO:O14-1,LJP005_HT29_24H_X2_B19:B13-2,10.0
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,REP.A025_HT29_24H_X3_B23:B04-2,CPC013_HT29_6H_X4_B5_DUO52HI53LO:G09-1,LJP008_HT29_24H_X1_B20:H13-2,10.0
O=C1c2ccccc2-c2n[nH]c3cccc1c23,LJP007_HT29_24H_X1_B20:B06-2,CPC016_HT29_6H_X1_B4_DUO52HI53LO:C04-1,LJP009_HT29_24H_X1_B20:E07-2,10.0
OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,DOS034_HT29_24H_X1_F2B4_DUO52HI53LO:K16-1,CPC013_HT29_6H_X2_B4_DUO52HI53LO:E09-1,LJP009_HT29_24H_X2_B20:O01-2,10.0
